Title,Handle,formato,precio_pvp_sugerido,species,stage,brand,subscribable,SKU,Categories
Applaws Gato Filete de Atun con Algas Marinas,applaws-gato-filete-de-atun-con-algas-marinas,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00048,Alimento
Applaws Gato Filete de Atun-Camaron con Caldito,applaws-gato-filete-de-atun-camaron-con-caldito,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00049,Alimento
Applaws Gato Filete de Atun-Cangrejo con Caldito,applaws-gato-filete-de-atun-cangrejo-con-caldito,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00050,Alimento
Applaws Gato Pechuga de Pollo con Caldito,applaws-gato-pechuga-de-pollo-con-caldito,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00051,Alimento
Applaws Gato Pechuga de Pollo-Pato con Caldito,applaws-gato-pechuga-de-pollo-pato-con-caldito,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00052,Alimento
Applaws Gato Pescado Azul con Caldito,applaws-gato-pescado-azul-con-caldito,75 g,2490,gato,adulto,Applaws,FALSE,MANADA-00053,Alimento
Bravery Chicken Adult Cat,bravery-chicken-adult-cat,2.05 kg,20990,gato,adulto,Bravery,FALSE,MANADA-00054,Alimento
Bravery Chicken Adult Cat,bravery-chicken-adult-cat,7.15 kg,54990,gato,adulto,Bravery,FALSE,MANADA-00055,Alimento
Bravery Chicken Adult Cat Sterilized,bravery-chicken-adult-cat-sterilized,2.05 kg,21990,gato,adulto,Bravery,FALSE,MANADA-00056,Alimento
Bravery Chicken Adult Cat Sterilized,bravery-chicken-adult-cat-sterilized,7.15 kg,56990,gato,adulto,Bravery,FALSE,MANADA-00057,Alimento
Bravery Chicken Adult Large/Medium Breeds,bravery-chicken-adult-large-medium-breeds,12.3 kg,69990,perro,adulto,Bravery,FALSE,MANADA-00058,Alimento
Bravery Chicken Adult Large/Medium Breeds,bravery-chicken-adult-large-medium-breeds,4.1 kg,25990,perro,adulto,Bravery,FALSE,MANADA-00059,Alimento
Bravery Chicken and Carrots Sterilized Cat Wet Food,bravery-chicken-and-carrots-sterilized-cat-wet-food,75 g,2790,gato,adulto,Bravery,FALSE,MANADA-00060,Alimento
Bravery Chicken and Peas Adult Cat Wet Food,bravery-chicken-and-peas-adult-cat-wet-food,75 g,2790,gato,adulto,Bravery,FALSE,MANADA-00061,Alimento
Bravery Chicken and Vegetables Adult Dog Wet Food,bravery-chicken-and-vegetables-adult-dog-wet-food,90 g,1990,perro,adulto,Bravery,FALSE,MANADA-00062,Alimento
Bravery Chicken and Vegetables Dog Wet Food,bravery-chicken-and-vegetables-dog-wet-food,300 g,3690,perro,adulto,Bravery,FALSE,MANADA-00063,Alimento
Bravery Chicken Kitten,bravery-chicken-kitten,2.05 kg,21990,gato,cachorro,Bravery,FALSE,MANADA-00064,Alimento
Bravery Chicken Mini Adult Small Breeds,bravery-chicken-mini-adult-small-breeds,2.05 kg,19990,perro,adulto,Bravery,FALSE,MANADA-00065,Alimento
Bravery Chicken Mini Adult Small Breeds,bravery-chicken-mini-adult-small-breeds,7.15 kg,48990,perro,adulto,Bravery,FALSE,MANADA-00066,Alimento
Bravery Chicken Mini Puppy Small Breeds,bravery-chicken-mini-puppy-small-breeds,2.05 kg,21990,perro,cachorro,Bravery,FALSE,MANADA-00067,Alimento
Bravery Chicken Mini Puppy Small Breeds,bravery-chicken-mini-puppy-small-breeds,7.15 kg,52990,perro,cachorro,Bravery,FALSE,MANADA-00068,Alimento
Bravery Chicken Puppy Large/Medium Breeds,bravery-chicken-puppy-large-medium-breeds,12.3 kg,72990,perro,cachorro,Bravery,FALSE,MANADA-00069,Alimento
Bravery Chicken Puppy Large/Medium Breeds,bravery-chicken-puppy-large-medium-breeds,4.1 kg,28990,perro,cachorro,Bravery,FALSE,MANADA-00070,Alimento
Bravery Hake Sterilized Cat Wet Food,bravery-hake-sterilized-cat-wet-food,75 g,2790,gato,adulto,Bravery,FALSE,MANADA-00071,Alimento
Bravery Herring Adult Cat,bravery-herring-adult-cat,2.05 kg,21990,gato,adulto,Bravery,FALSE,MANADA-00072,Alimento
Bravery Herring Adult Cat,bravery-herring-adult-cat,7.15 kg,58990,gato,adulto,Bravery,FALSE,MANADA-00073,Alimento
Bravery Herring Adult Cat Sterilized,bravery-herring-adult-cat-sterilized,2.05 kg,23990,gato,adulto,Bravery,FALSE,MANADA-00074,Alimento
Bravery Herring Adult Cat Sterilized,bravery-herring-adult-cat-sterilized,7.15 kg,60990,gato,adulto,Bravery,FALSE,MANADA-00075,Alimento
Bravery Herring Adult Large/Medium Breeds,bravery-herring-adult-large-medium-breeds,12.3 kg,72990,perro,adulto,Bravery,FALSE,MANADA-00076,Alimento
Bravery Herring Adult Large/Medium Breeds,bravery-herring-adult-large-medium-breeds,4.1 kg,28990,perro,adulto,Bravery,FALSE,MANADA-00077,Alimento
Bravery Herring Mini Adult Small Breeds,bravery-herring-mini-adult-small-breeds,2.05 kg,21990,perro,adulto,Bravery,FALSE,MANADA-00078,Alimento
Bravery Herring Mini Adult Small Breeds,bravery-herring-mini-adult-small-breeds,7.15 kg,52990,perro,adulto,Bravery,FALSE,MANADA-00079,Alimento
Bravery Herring Senior Cat,bravery-herring-senior-cat,2.05 kg,23990,gato,senior,Bravery,FALSE,MANADA-00080,Alimento
Bravery Herring Senior Cat,bravery-herring-senior-cat,7.15 kg,62990,gato,senior,Bravery,FALSE,MANADA-00081,Alimento
Bravery Herring Senior Large/Medium Breeds,bravery-herring-senior-large-medium-breeds,12.3 kg,79990,perro,senior,Bravery,FALSE,MANADA-00082,Alimento
Bravery Herring Senior Large/Medium Breeds,bravery-herring-senior-large-medium-breeds,4.1 kg,30990,perro,senior,Bravery,FALSE,MANADA-00083,Alimento
Bravery Herring Senior Small Breeds,bravery-herring-senior-small-breeds,2.05 kg,23990,perro,senior,Bravery,FALSE,MANADA-00084,Alimento
Bravery Herring Senior Small Breeds,bravery-herring-senior-small-breeds,7.15 kg,56990,perro,senior,Bravery,FALSE,MANADA-00085,Alimento
Bravery Iberian Pork Adult Large/Medium Breeds,bravery-iberian-pork-adult-large-medium-breeds,12.3 kg,71990,perro,adulto,Bravery,FALSE,MANADA-00086,Alimento
Bravery Iberian Pork Adult Large/Medium Breeds,bravery-iberian-pork-adult-large-medium-breeds,4.1 kg,27990,perro,adulto,Bravery,FALSE,MANADA-00087,Alimento
Bravery Iberian Pork Mini Adult Small Breeds,bravery-iberian-pork-mini-adult-small-breeds,2.05 kg,20990,perro,adulto,Bravery,FALSE,MANADA-00088,Alimento
Bravery Iberian Pork Mini Adult Small Breeds,bravery-iberian-pork-mini-adult-small-breeds,7.15 kg,50990,perro,adulto,Bravery,FALSE,MANADA-00089,Alimento
Bravery Lamb Adult Large/Medium Breed,bravery-lamb-adult-large-medium-breed,12.3 kg,72990,perro,adulto,Bravery,FALSE,MANADA-00090,Alimento
Bravery Lamb Adult Large/Medium Breed,bravery-lamb-adult-large-medium-breed,4.1 kg,28990,perro,adulto,Bravery,FALSE,MANADA-00091,Alimento
Bravery Lamb Mini Adult Small Breeds,bravery-lamb-mini-adult-small-breeds,2.05 kg,21990,perro,adulto,Bravery,FALSE,MANADA-00092,Alimento
Bravery Lamb Mini Adult Small Breeds,bravery-lamb-mini-adult-small-breeds,7.15 kg,52990,perro,adulto,Bravery,FALSE,MANADA-00093,Alimento
Bravery Light Iberian Pork Adult Large/Medium Breeds,bravery-light-iberian-pork-adult-large-medium-breeds,12.3 kg,72990,perro,adulto,Bravery,FALSE,MANADA-00094,Alimento
Bravery Light Iberian Pork Adult Large/Medium Breeds,bravery-light-iberian-pork-adult-large-medium-breeds,4.1 kg,28990,perro,adulto,Bravery,FALSE,MANADA-00095,Alimento
Bravery Light Iberian Pork Mini Adult Small Breeds,bravery-light-iberian-pork-mini-adult-small-breeds,2.05 kg,21990,perro,adulto,Bravery,FALSE,MANADA-00096,Alimento
Bravery Light Iberian Pork Mini Adult Small Breeds,bravery-light-iberian-pork-mini-adult-small-breeds,7.15 kg,52990,perro,adulto,Bravery,FALSE,MANADA-00097,Alimento
Bravery Mackerel Kitten Wet Food,bravery-mackerel-kitten-wet-food,75 g,2790,gato,cachorro,Bravery,FALSE,MANADA-00098,Alimento
Bravery Meatballs Stew Chicken Dog Wet Food,bravery-meatballs-stew-chicken-dog-wet-food,450 g,5990,perro,adulto,Bravery,FALSE,MANADA-00099,Alimento
Bravery Meatballs Stew Iberian Pork Dog Wet Food,bravery-meatballs-stew-iberian-pork-dog-wet-food,450 g,5990,perro,adulto,Bravery,FALSE,MANADA-00100,Alimento
Bravery Salmon Adult Cat,bravery-salmon-adult-cat,2.05 kg,21990,gato,adulto,Bravery,FALSE,MANADA-00101,Alimento
Bravery Salmon Adult Cat,bravery-salmon-adult-cat,7.15 kg,58990,gato,adulto,Bravery,FALSE,MANADA-00102,Alimento
