Title,Handle,formato,precio_pvp_sugerido,species,stage,brand,subscribable,SKU,Categories
Pacific Stream Puppy Salmón Ahumado,taste-of-the-wild-pacific-stream-puppy-salmon-ahumado,12 kg,71990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00575,Alimento
Pacific Stream Puppy Salmón Ahumado,taste-of-the-wild-pacific-stream-puppy-salmon-ahumado,5.6 kg,41990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00576,Alimento
Pacific Stream Puppy Salmón Ahumado,taste-of-the-wild-pacific-stream-puppy-salmon-ahumado,2 kg,21990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00577,Alimento
High Prairie Puppy Bisonte y Venado,taste-of-the-wild-high-prairie-puppy-bisonte-y-venado,12 kg,71990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00578,Alimento
High Prairie Puppy Bisonte y Venado,taste-of-the-wild-high-prairie-puppy-bisonte-y-venado,5.6 kg,41990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00579,Alimento
High Prairie Puppy Bisonte y Venado,taste-of-the-wild-high-prairie-puppy-bisonte-y-venado,2 kg,21990,perro,cachorro,Taste of the Wild,FALSE,MANADA-00580,Alimento
Pacific Stream Salmón Ahumado,taste-of-the-wild-pacific-stream-salmon-ahumado,18 kg,89990,perro,adulto,Taste of the Wild,FALSE,MANADA-00581,Alimento
Pacific Stream Salmón Ahumado,taste-of-the-wild-pacific-stream-salmon-ahumado,12 kg,71990,perro,adulto,Taste of the Wild,FALSE,MANADA-00582,Alimento
Pacific Stream Salmón Ahumado,taste-of-the-wild-pacific-stream-salmon-ahumado,5.6 kg,41990,perro,adulto,Taste of the Wild,FALSE,MANADA-00583,Alimento
Pacific Stream Salmón Ahumado,taste-of-the-wild-pacific-stream-salmon-ahumado,2 kg,21990,perro,adulto,Taste of the Wild,FALSE,MANADA-00584,Alimento
High Prairie Bisonte y Venado,taste-of-the-wild-high-prairie-bisonte-y-venado,18 kg,89990,perro,adulto,Taste of the Wild,FALSE,MANADA-00585,Alimento
